Iteration,Best Distance,Average Distance
467,11561.951943945407,13023.370383273425
468,11561.951943945407,13017.450847339735
469,11561.951943945407,12993.37599414413
470,11561.951943945407,12828.068781028234
471,11561.951943945407,12998.250196615085
472,11560.54732359301,12713.020530163967
473,11550.63642013155,12898.744304205442
474,11550.63642013155,12907.449188655883
475,11550.63642013155,12918.058652565083
476,11550.63642013155,12863.651945835772
477,11550.63642013155,13006.6123762732
478,11550.63642013155,12766.336676546855
479,11550.63642013155,12855.333941303068
480,11549.231799779152,12891.124189279344
481,11549.231799779152,12863.166053479426
482,11549.231799779152,12942.95518031733
483,11549.231799779152,12669.62256483289
484,11549.231799779152,12686.103005254417
485,11549.231799779152,12751.616356870103
486,11549.231799779152,12768.341967633336
487,11549.231799779152,12606.508169193088
488,11549.231799779152,12636.784829601096
489,11549.231799779152,12631.884063967764
490,11549.231799779152,12540.80360876779
491,11549.231799779152,12645.664257892056
492,11549.231799779152,12446.490444972449
493,11549.231799779152,12507.169344804846
494,11549.231799779152,12582.388772966273
495,11549.231799779152,12492.82291317493
496,11549.231799779152,12442.41940445591
497,11549.231799779152,12402.376456866541
498,11549.231799779152,12362.714272043326
499,11549.231799779152,12532.672486511672
500,11549.231799779152,12402.251831484968
501,11549.231799779152,12228.344203438171
502,11549.231799779152,12322.824234796355
503,11549.231799779152,12348.60029013584
504,11549.231799779152,12348.85623027995
505,11549.231799779152,12411.452560910242
506,11549.231799779152,12270.666004364992
507,11549.231799779152,12309.951294385552
508,11549.231799779152,12396.019787262478
509,11549.231799779152,12302.667692633006
510,11549.231799779152,12280.381290475652
511,11549.231799779152,12245.152758083315
512,11549.231799779152,12191.135784624907
513,11549.231799779152,12264.676074727256
514,11540.865860054615,12254.424978141435
515,11537.006096461122,12222.665816280392
516,11506.87594494797,12376.590302236737
517,11506.87594494797,12523.411922311394
518,11506.87594494797,12629.954622054907
519,11506.87594494797,12340.337495102483
520,11506.87594494797,12259.478325872276
521,11506.87594494797,12382.124865177548
522,11506.87594494797,12370.69769379333
523,11506.87594494797,12392.741726955426
524,11506.87594494797,12287.88982739473
525,11506.87594494797,12358.044361294553
526,11506.87594494797,12361.829877648725
527,11506.87594494797,12344.379858161912
528,11506.87594494797,12225.751148625533
529,11506.87594494797,12213.634373917186
530,11506.87594494797,12296.88498718372
531,11506.87594494797,12255.049225263821
532,11506.87594494797,12193.078771697932
533,11506.87594494797,12107.497105539403
534,11506.87594494797,12230.872375148798
535,11506.87594494797,12194.03774309976
536,11506.87594494797,12172.33332136619
537,11506.87594494797,12066.00303831141
538,11506.87594494797,12097.751766431023
539,11506.87594494797,12154.700396376522
540,11506.87594494797,12226.797292871237
541,11506.87594494797,12084.494753103578
542,11506.87594494797,12018.498809342633
543,11506.87594494797,12098.688611467613
544,11506.87594494797,12117.015382360678
545,11506.87594494797,12064.0673186316
546,11506.87594494797,11975.008080645788
547,11506.87594494797,12127.671241432978
548,11506.87594494797,11985.696699937082
549,11506.87594494797,12078.917521221207
550,11506.87594494797,12066.99268138346
551,11506.87594494797,12042.635792384162
552,11506.87594494797,12073.004279111747
553,11506.87594494797,12044.360998084065
554,11506.87594494797,12181.11245660177
555,11506.87594494797,12087.809199897187
556,11506.87594494797,12037.84783367163
557,11506.87594494797,12050.465769582363
558,11506.87594494797,12026.011102218074
559,11506.87594494797,11965.011574162774
560,11506.87594494797,11959.652828804386
561,11506.87594494797,11940.40910698293
562,11506.87594494797,12004.72064712418
563,11506.87594494797,11914.330802227954
564,11506.87594494797,11999.20001591433
565,11506.87594494797,11860.03337799498
566,11506.87594494797,11920.853301234376
567,11506.87594494797,11866.537996661289
568,11506.87594494797,11902.197340209443
569,11506.87594494797,11886.945068652558
570,11506.87594494797,11883.745165421153
571,11506.87594494797,11941.75043583628
572,11506.87594494797,11896.415180731574
573,11506.87594494797,11876.700846461179
574,11506.87594494797,11853.766932624705
575,11506.87594494797,11891.042803198872
576,11506.87594494797,11800.688679043933
577,11506.87594494797,11803.08810904726
578,11506.87594494797,11789.752217775544
579,11506.87594494797,11830.451766573166
580,11506.87594494797,11844.896042157192
581,11506.87594494797,11803.664136573863
582,11506.87594494797,11825.567804270539
583,11506.87594494797,11823.88501266715
584,11506.87594494797,11773.781775334226
