Iteration,Best Distance,Average Distance
561,11710.61087705251,11710.61087705251
562,11710.61087705251,11710.61087705251
563,11710.61087705251,11710.61087705251
564,11710.61087705251,11710.61087705251
565,11710.61087705251,11710.61087705251
566,11710.61087705251,11710.61087705251
567,11710.61087705251,11710.61087705251
568,11710.61087705251,11710.61087705251
569,11710.61087705251,11710.61087705251
570,11710.61087705251,11710.61087705251
571,11710.61087705251,11710.61087705251
572,11710.61087705251,11710.61087705251
573,11710.61087705251,11710.61087705251
574,11710.61087705251,11710.61087705251
575,11710.61087705251,11710.61087705251
576,11710.61087705251,11710.61087705251
577,11710.61087705251,11710.61087705251
578,11710.61087705251,11710.61087705251
579,11710.61087705251,11710.61087705251
580,11710.61087705251,11710.61087705251
581,11710.61087705251,11710.61087705251
582,11710.61087705251,11710.61087705251
583,11710.61087705251,11710.61087705251
584,11710.61087705251,11710.61087705251
585,11710.61087705251,11710.61087705251
586,11710.61087705251,11710.61087705251
587,11710.61087705251,11710.61087705251
588,11710.61087705251,11710.61087705251
589,11710.61087705251,11710.61087705251
590,11710.61087705251,11710.61087705251
591,11710.61087705251,11710.61087705251
592,11710.61087705251,11710.61087705251
593,11710.61087705251,11710.61087705251
594,11710.61087705251,11710.61087705251
595,11710.61087705251,11710.61087705251
596,11710.61087705251,11710.61087705251
597,11710.61087705251,11710.61087705251
598,11710.61087705251,11710.61087705251
599,11710.61087705251,11710.61087705251
600,11710.61087705251,11710.61087705251
601,11710.61087705251,11710.61087705251
602,11710.61087705251,11710.61087705251
603,11710.61087705251,11710.61087705251
604,11710.61087705251,11710.61087705251
605,11710.61087705251,11710.61087705251
606,11710.61087705251,11710.61087705251
607,11710.61087705251,11710.61087705251
608,11710.61087705251,11710.61087705251
609,11710.61087705251,11710.61087705251
610,11710.61087705251,11710.61087705251
611,11710.61087705251,11710.61087705251
612,11710.61087705251,11710.61087705251
613,11710.61087705251,11710.61087705251
614,11710.61087705251,11710.61087705251
615,11710.61087705251,11710.61087705251
616,11710.61087705251,11710.61087705251
617,11710.61087705251,11710.61087705251
618,11710.61087705251,11710.61087705251
619,11710.61087705251,11710.61087705251
620,11710.61087705251,11710.61087705251
621,11710.61087705251,11710.61087705251
622,11710.61087705251,11710.61087705251
623,11710.61087705251,11710.61087705251
624,11710.61087705251,11710.61087705251
625,11710.61087705251,11710.61087705251
626,11710.61087705251,11710.61087705251
627,11710.61087705251,11710.61087705251
628,11710.61087705251,11710.61087705251
629,11710.61087705251,11710.61087705251
630,11710.61087705251,11710.61087705251
631,11710.61087705251,11710.61087705251
632,11710.61087705251,11710.61087705251
633,11710.61087705251,11710.61087705251
