Iteration,Best Distance,Current Distance,Iter Time (s),Cumulative Time (s)
243,22640.958727951736,23568.508001803624,2.002716064453125e-05,0.05114459991455078
244,22640.958727951736,23426.627134634757,1.9550323486328125e-05,0.05133557319641113
245,22640.958727951736,23426.627134634757,1.9311904907226562e-05,0.051526546478271484
246,22640.958727951736,23471.82475644958,1.9788742065429688e-05,0.05171632766723633
247,22640.958727951736,23864.48761559266,2.0503997802734375e-05,0.05192756652832031
248,22640.958727951736,23717.043948959246,1.9550323486328125e-05,0.05211758613586426
249,22640.958727951736,23345.261256803347,1.8835067749023438e-05,0.052304983139038086
250,22640.958727951736,24041.77897625949,1.9550323486328125e-05,0.05249428749084473
251,22640.958727951736,24387.93703241776,1.9311904907226562e-05,0.05268359184265137
252,22640.958727951736,24346.258536404563,1.8835067749023438e-05,0.05287289619445801
253,22640.958727951736,24346.258536404563,1.9788742065429688e-05,0.053075551986694336
254,22640.958727951736,25006.03296582553,1.9311904907226562e-05,0.05326700210571289
255,22640.958727951736,24942.434266104803,1.9550323486328125e-05,0.053456783294677734
256,22640.958727951736,24901.938037126,1.9073486328125e-05,0.05364489555358887
257,22640.958727951736,24925.63670842018,2.0742416381835938e-05,0.053841590881347656
258,22640.958727951736,25258.077733424318,1.9550323486328125e-05,0.05403637886047363
259,22640.958727951736,25174.63089486459,1.9311904907226562e-05,0.05422687530517578
260,22640.958727951736,25174.63089486459,1.9788742065429688e-05,0.05441427230834961
261,22640.958727951736,25522.11754338619,2.002716064453125e-05,0.05460190773010254
262,22640.958727951736,24799.42595726749,1.9550323486328125e-05,0.054789066314697266
263,22640.958727951736,24840.56427323069,1.9788742065429688e-05,0.0549771785736084
264,22640.958727951736,24840.56427323069,2.002716064453125e-05,0.055167436599731445
265,22640.958727951736,24617.36733735798,1.9311904907226562e-05,0.05536222457885742
266,22640.958727951736,24617.36733735798,1.9550323486328125e-05,0.05556225776672363
267,22640.958727951736,24800.88050670384,2.5272369384765625e-05,0.05575895309448242
268,22640.958727951736,23796.69487717761,1.9311904907226562e-05,0.055950164794921875
269,22640.958727951736,23796.69487717761,1.9311904907226562e-05,0.0561375617980957
270,22640.958727951736,23542.73361825462,1.9311904907226562e-05,0.056334495544433594
271,22640.958727951736,23518.297383232268,1.9073486328125e-05,0.05652213096618652
272,22640.958727951736,23518.297383232268,1.9311904907226562e-05,0.05671095848083496
273,22640.958727951736,23518.297383232268,1.9788742065429688e-05,0.05690169334411621
274,22640.958727951736,23997.146001440837,1.9311904907226562e-05,0.05709576606750488
275,22640.958727951736,24346.325490940126,1.9311904907226562e-05,0.057283639907836914
276,22640.958727951736,24205.97970675595,2.002716064453125e-05,0.057488203048706055
277,22640.958727951736,23859.482481326846,1.9550323486328125e-05,0.05768132209777832
278,22640.958727951736,23917.20154730525,2.002716064453125e-05,0.0578768253326416
279,22640.958727951736,23917.20154730525,1.9550323486328125e-05,0.0581049919128418
280,22640.958727951736,23829.23404982777,2.7418136596679688e-05,0.05830979347229004
281,22640.958727951736,22827.539925741676,2.1219253540039062e-05,0.05855751037597656
282,22571.745580701507,22571.745580701507,2.1219253540039062e-05,0.05876445770263672
283,22353.155358636854,22353.155358636854,2.1219253540039062e-05,0.05896878242492676
284,22353.155358636854,22587.949481163098,2.1696090698242188e-05,0.0591738224029541
285,22353.155358636854,22439.277967396934,2.0265579223632812e-05,0.05937504768371582
286,22353.155358636854,23254.557123981947,2.0265579223632812e-05,0.05957436561584473
287,22353.155358636854,23051.60893049288,2.765655517578125e-05,0.05978584289550781
288,22353.155358636854,23051.60893049288,2.0742416381835938e-05,0.060005903244018555
289,22353.155358636854,23837.406509234672,2.0265579223632812e-05,0.06020951271057129
290,22353.155358636854,23964.87650439538,2.1219253540039062e-05,0.06041097640991211
291,22353.155358636854,23501.833416984646,2.0742416381835938e-05,0.060616254806518555
